nom;canton
Mollens VD;Vaud
Molondin;Vaud
Cousset;Fribourg
Grandsivaz;Fribourg
Mannens;Fribourg
Montagny-la-Ville;Fribourg
Montagny-les-Monts;Fribourg
Montagny-près-Yverdon;Vaud
Chanéaz;Vaud
Chapelle-sur-Moudon;Vaud
Correvon;Vaud
Denezy;Vaud
Martherenges;Vaud
Neyruz-sur-Moudon;Vaud
Peyres-Possens;Vaud
St-Cierges;Vaud
Thierrens;Vaud
Montcherand;Vaud
Montet (Glâne);Fribourg
Montfaucon;Jura
Montfavergier;Jura
Choëx;Valais
Les Giettes;Valais
Monthey;Valais
Dommartin;Vaud
Naz;Vaud
Poliez-le-Grand;Vaud
Sugnens;Vaud
Mont-la-Ville;Vaud
Mase;Valais
Nax;Valais
Vernamiège;Valais
Montpreveyres;Vaud
Brent;Vaud
Caux;Vaud
Chailly-Montreux;Vaud
Chamby;Vaud
Chernex;Vaud
Clarens;Vaud
Glion;Vaud
Les Avants;Vaud
Montreux;Vaud
Territet;Vaud
Villard-sur-Chamby;Vaud
Montricher;Vaud
Mont-sur-Rolle;Vaud
Lugnorre;Fribourg
Môtier (Vully);Fribourg
Mur (Vully) FR;Fribourg
Praz (Vully);Fribourg
Sugiez;Fribourg
Filet;Valais
Mörel;Valais
Morges;Vaud
Morlon;Fribourg
Morrens VD;Vaud
Moudon;Vaud
Movelier;Jura
Muntelier;Fribourg
Le Cerneux-Veusil;Jura
Les Emibois;Jura
Muriaux;Jura
Büchslen;Fribourg
Courlevon;Fribourg
Jeuss;Fribourg
Lurtigen;Fribourg
Murten;Fribourg
Salvenach;Fribourg
Mutrux;Vaud
Belalp;Valais
Birgisch;Valais
Blatten b. Naters;Valais
Mund;Valais
Naters;Valais
Aproz (Nendaz);Valais
Baar (Nendaz);Valais
Basse-Nendaz;Valais
Beuson (Nendaz);Valais
Bieudron (Nendaz);Valais
Brignon (Nendaz);Valais
Clèbes (Nendaz);Valais
Condémines (Nendaz);Valais
Fey (Nendaz);Valais
Haute-Nendaz;Valais
Saclentse;Valais
Siviez (Nendaz);Valais
Sornard (Nendaz);Valais
Chaumont;Neuchâtel
Corcelles NE;Neuchâtel
Cormondrèche;Neuchâtel
Neuchâtel;Neuchâtel
Peseux;Neuchâtel
Valangin;Neuchâtel
Neyruz FR;Fribourg
Niedergesteln;Valais
Miège;Valais
Venthône;Valais
Veyras;Valais
Novalles;Vaud
Noville;Vaud
Nuvilly;Fribourg
Nyon;Vaud
Oberems;Valais
Obergesteln;Valais
Oberwald;Valais
Ulrichen;Valais
Ogens;Vaud
Arveyes;Vaud
Chesières;Vaud
Huémoz;Vaud
Ollon VD;Vaud
Panex;Vaud
St-Triphon;Vaud
Villars-sur-Ollon;Vaud
Onex;Genève
Onnens VD;Vaud
Oppens;Vaud
Orbe;Vaud
Orges;Vaud
La Comballaz;Vaud
La Forclaz VD;Vaud
Le Sépey;Vaud
Les Mosses;Vaud
Les Diablerets;Vaud
Vers-l'Eglise;Vaud
Orny;Vaud
Bussigny-sur-Oron;Vaud
Châtillens;Vaud
Chesalles-sur-Oron;Vaud
Ecoteaux;Vaud
Les Tavernes;Vaud
Les Thioleyres;Vaud
Oron-la-Ville;Vaud
Oron-le-Châtel;Vaud
Palézieux;Vaud
Palézieux-Village;Vaud
Vuibroye;Vaud
Champex-Lac;Valais
La Fouly VS;Valais
Orsières;Valais
Praz-de-Fort;Valais
Orzens;Vaud
Oulens-sous-Echallens;Vaud
Pailly;Vaud
Pampigny;Vaud
Paudex;Vaud
Payerne;Vaud
Vers-chez-Perrin;Vaud
Penthalaz;Vaud
Penthaz;Vaud
Penthéréaz;Vaud
Perly;Genève
Perroy;Vaud
Pierrafortscha;Fribourg
Oberschrot;Fribourg
Plaffeien;Fribourg
Schwarzsee;Fribourg
Zumholz;Fribourg
Plan-les-Ouates;Genève
Plasselb;Fribourg
Lucelle;Jura
Pleigne;Jura
Poliez-Pittet;Vaud
Pompaples;Vaud
Pomy;Vaud
Avry-devant-Pont;Fribourg
Gumefens;Fribourg
Le Bry;Fribourg
Nierlet-les-Bois;Fribourg
Ponthaux;Fribourg
Pont-la-Ville;Fribourg
Porrentruy;Jura
Bouveret;Valais
Les Evouettes;Valais
Prangins;Vaud
Chambésy;Genève
Premier;Vaud
Presinge;Genève
Préverenges;Vaud
Prévondavaux;Fribourg
Prévonloup;Vaud
Corserey;Fribourg
Noréaz;Fribourg
Prez-vers-Noréaz;Fribourg
Prilly;Vaud
Provence;Vaud
Puidoux;Vaud
Les Monts-de-Pully;Vaud
Pully;Vaud
Puplinge;Genève
Rances;Vaud
Randa;Valais
Raron;Valais
St. German;Valais
Rechthalten;Fribourg
Remaufens;Fribourg
Renens VD;Vaud
Rennaz;Vaud
Reverolle;Vaud
Riaz;Fribourg
Auddes-sur-Riddes;Valais
La Tzoumaz;Valais
Riddes;Valais
Agriswil;Fribourg
Ried b. Kerzers;Fribourg
Ried-Brig;Valais
Rothwald;Valais
Goppisberg;Valais
Greich;Valais
Riederalp;Valais
Ried-Mörel;Valais
Rivaz;Vaud
Roche VD;Vaud
Brot-Dessous;Neuchâtel
Chambrelien;Neuchâtel
Champ-du-Moulin;Neuchâtel
Fretereules;Neuchâtel
Montezillon;Neuchâtel
Rochefort;Neuchâtel
Rolle;Vaud
Romainmôtier;Vaud
Romanel-sur-Lausanne;Vaud
Romanel-sur-Morges;Vaud
Romont FR;Fribourg
Ropraz;Vaud
Rossemaison;Jura
Rossenges;Vaud
La Tine;Vaud
Rossinière;Vaud
Flendruz;Vaud
Rougemont;Vaud
Rovray;Vaud
Blessens;Fribourg
Gillarens;Fribourg
Promasens;Fribourg
Rue;Fribourg
Rueyres;Vaud
Russin;Genève
Saas-Almagell;Valais
Saas-Balen;Valais
Saas-Fee;Valais
Saas-Grund;Valais
Goumois;Jura
Les Pommerats;Jura
Saignelégier;Jura
Saillon;Valais
Les Friques;Fribourg
St-Aubin FR;Fribourg
St-Barthélemy VD;Vaud
St-Blaise;Neuchâtel
St-Brais;Jura
La Cure;Vaud
St-Cergue;Vaud
La Sagne (Ste-Croix);Vaud
La Vraconnaz;Vaud
L'Auberson;Vaud
Le Château-de-Ste-Croix;Vaud
Ste-Croix;Vaud
St-George;Vaud
St-Gingolph;Valais
St-Légier-La Chiésaz;Vaud
St-Léonard;Valais
St-Livres;Vaud
Besencens;Fribourg
Fiaugères;Fribourg
St-Martin FR;Fribourg
Eison (St-Martin);Valais
Liez (St-Martin);Valais
St-Martin VS;Valais
Suen (St-Martin);Valais
Trogne (St-Martin);Valais
Mex VS;Valais
St-Maurice;Valais
St-Oyens;Vaud
St-Prex;Vaud
St-Saphorin (Lavaux);Vaud
St-Sulpice VD;Vaud
Maules;Fribourg
Romanens;Fribourg
Rueyres-Treyfayes;Fribourg
Sâles (Gruyère);Fribourg
Treyfayes;Fribourg
Salgesch;Valais
Le Trétien;Valais
Les Granges (Salvan);Valais
Les Marécottes;Valais
Salvan;Valais
Satigny;Genève
Saubraz;Vaud
Saulcy;Jura
Savièse;Valais
Mollie-Margot;Vaud
Savigny;Vaud
Saxon;Valais
Schmitten FR;Fribourg
Chamoille (Sembrancher);Valais
La Garde (Sembrancher);Valais
Sembrancher;Valais
Semsales;Fribourg
Senarclens;Vaud
Sergey;Vaud
Les Cullayes;Vaud
Servion;Vaud
Sévaz;Fribourg
Sévery;Vaud
Granges VS;Valais
Muraz (Sierre);Valais
Noës;Valais
Sierre;Valais
Signy;Vaud
Gabi (Simplon);Valais
Simplon Dorf;Valais
Simplon Hospiz;Valais
Arvillard (Salins);Valais
Bramois;Valais
Crête-à-l'Oeil (Les Agettes);Valais
La Vernaz (Les Agettes);Valais
Les Agettes;Valais
Misériez (Salins);Valais
Pont-de-la-Morge (Sion);Valais
Pravidondaz (Salins);Valais
Salins;Valais
Sion;Valais
Turin (Salins);Valais
Uvrier;Valais
Chavannes-les-Forts;Fribourg
Prez-vers-Siviriez;Fribourg
Siviriez;Fribourg
Villaraboud;Fribourg
Soral;Genève
Sorens;Fribourg
Soubey;Jura
Soyhières;Jura
Herbriggen;Valais
St. Niklaus VS;Valais
St. Silvester;Fribourg
St. Ursen;Fribourg
Stalden VS;Valais
Staldenried;Valais
Hohtenn;Valais
Steg VS;Valais
Suchy;Vaud
Sullens;Vaud
Chapelle (Broye);Fribourg
Cheiry;Fribourg
Praratoud;Fribourg
Surpierre;Fribourg
Villeneuve FR;Fribourg
Suscévaz;Vaud
Syens;Vaud
Alterswil FR;Fribourg
St. Antoni;Fribourg
Tafers;Fribourg
Tannay;Vaud
Tartegnin;Vaud
Täsch;Valais
Tentlingen;Fribourg
Rosswald;Valais
Termen;Valais
Fontanezier;Vaud
Romairon;Vaud
Vaugondry;Vaud
Villars-Burquin;Vaud
Thônex;Genève
Tolochenaz;Vaud
Törbel;Valais
Middes;Fribourg
Torny-le-Grand;Fribourg
Trélex;Vaud
Trey;Vaud
Treycovagnes;Vaud
Treytorrens (Payerne);Vaud
Treyvaux;Fribourg
Trient;Valais
Troinex;Genève
Morgins;Valais
Troistorrents;Valais
Gruben;Valais
Turtmann;Valais
Unterems;Valais
Ueberstorf;Fribourg
Ulmiz;Fribourg
Unterbäch VS;Valais
Ursins;Vaud
Bionnens;Fribourg
Esmonts;Fribourg
Morlens;Fribourg
Mossel;Fribourg
Ursy;Fribourg
Vauderens;Fribourg
Vuarmarens;Fribourg
Bruson;Valais
Champsec;Valais
Chemin;Valais
Cries (Vollèges);Valais
Fionnay;Valais
Le Châble VS;Valais
Levron;Valais
Lourtier;Valais
Sarreyer;Valais
Vens (Sembrancher);Valais
Verbier;Valais
Versegères;Valais
Vollèges;Valais
Corban;Jura
Montsevelier;Jura
Vermes;Jura
Vicques;Jura
Cerniaz VD;Vaud
Combremont-le-Grand;Vaud
Combremont-le-Petit;Vaud
Granges-près-Marnand;Vaud
Marnand;Vaud
Sassel;Vaud
Seigneux;Vaud
Villars-Bramard;Vaud
Cerniat FR;Fribourg
Charmey (Gruyère);Fribourg
Boudevilliers;Neuchâtel
Cernier;Neuchâtel
Chézard-St-Martin;Neuchâtel
Coffrane;Neuchâtel
Dombresson;Neuchâtel
Engollon;Neuchâtel
Fenin;Neuchâtel
Fontainemelon;Neuchâtel
Fontaines NE;Neuchâtel
La Vue-des-Alpes;Neuchâtel
Le Pâquier NE;Neuchâtel
Les Geneveys-sur-Coffrane;Neuchâtel
Les Hauts-Geneveys;Neuchâtel
Les Vieux-Prés;Neuchâtel
Montmollin;Neuchâtel
Saules;Neuchâtel
Savagnier;Neuchâtel
Vilars NE;Neuchâtel
Villiers;Neuchâtel
Boveresse;Neuchâtel
Buttes;Neuchâtel
Couvet;Neuchâtel
Fleurier;Neuchâtel
Les Bayards;Neuchâtel
Les Sagnettes;Neuchâtel
Mont-de-Buttes;Neuchâtel
Môtiers NE;Neuchâtel
Noiraigue;Neuchâtel
St-Sulpice NE;Neuchâtel
Travers;Neuchâtel
Champoussin;Valais
Les Crosets;Valais
Val-d'Illiez;Valais
Valeyres-sous-Montagny;Vaud
Valeyres-sous-Rances;Vaud
Valeyres-sous-Ursins;Vaud
Vallon;Fribourg
Vallorbe;Vaud
Vandoeuvres;Genève
Varen;Valais
Vaulion;Vaud
Vaulruz;Fribourg
Vaux-sur-Morges;Vaud
Vendlincourt;Jura
Vernayaz;Valais
Aïre;Genève
Châtelaine;Genève
Le Lignon;Genève
Les Avanchets;Genève
Vernier;Genève
Vérossaz;Valais
Versoix;Genève
Vétroz;Valais
Vevey;Vaud
Les Collons;Valais
Les Mayens-de-Sion;Valais
Thyon;Valais
Vex;Valais
Vessy;Genève
Veyrier;Genève
Veysonnaz;Valais
Veytaux;Vaud
Vich;Vaud
Villarsel-sur-Marly;Fribourg
Villars-Epeney;Vaud
Villars-le-Comte;Vaud
Villars-le-Terroir;Vaud
Villars-Ste-Croix;Vaud
Villars-sous-Yens;Vaud
Villars-sur-Glâne;Fribourg
Rossens VD;Vaud
Sédeilles;Vaud
Villarzel;Vaud
Lussy FR;Fribourg
Villarimboud;Fribourg
Villaz-St-Pierre;Fribourg
Villeneuve VD;Vaud
Chavannes-sous-Orsonnens;Fribourg
Orsonnens;Fribourg
Villargiroud;Fribourg
Villarsiviriaux;Fribourg
Vinzel;Vaud
Torgon;Valais
Vionnaz;Valais
Eyholz;Valais
Visp;Valais
Visperterminen;Valais
Miex;Valais
Vouvry;Valais
Vuadens;Fribourg
Vuarrens;Vaud
Vucherens;Vaud
Vufflens-la-Ville;Vaud
Vufflens-le-Château;Vaud
Vugelles-La Mothe;Vaud
Estévenens;Fribourg
La Joux FR;Fribourg
La Magne;Fribourg
La Neirigue;Fribourg
Les Ecasseys;Fribourg
Lieffrens;Fribourg
Sommentier;Fribourg
Villariaz;Fribourg
Vuisternens-devant-Romont;Fribourg
Vuiteboeuf;Vaud
Vulliens;Vaud
Vullierens;Vaud
Bellerive VD;Vaud
Chabrey;Vaud
Constantine;Vaud
Cotterd;Vaud
Montmagny;Vaud
Mur (Vully) VD;Vaud
Salavaux;Vaud
Vallamand;Vaud
Villars-le-Grand;Vaud
Wiler (Lötschen);Valais
Flamatt;Fribourg
Wünnewil;Fribourg
Yens;Vaud
Gressy;Vaud
Yverdon-les-Bains;Vaud
Yvonand;Vaud
Yvorne;Vaud
Zeneggen;Valais
Zermatt;Valais
Gondo;Valais
Anniviers;Valais
Avry;Fribourg
Avusy;Genève
Ayent;Valais
Bardonnex;Genève
Bas-Intyamon;Fribourg
Basse-Allaine;Jura
Belmont-Broye;Fribourg
Billens-Hennens;Fribourg
Blatten;Valais
Bois-d'Amont;Fribourg
Bourg-en-Lavaux;Vaud
Bourg-Saint-Pierre;Valais
Brig-Glis;Valais
Carouge (GE);Genève
Châtel-Saint-Denis;Fribourg
Châtillon (FR);Fribourg
Châtillon (JU);Jura
Cheyres-Châbles;Fribourg
Clos du Doubs;Jura
Collex-Bossy;Genève
Collombey-Muraz;Valais
Cornaux;Neuchâtel
Corsier (GE);Genève
Cossonay;Vaud
Cottens (FR);Fribourg
Cottens (VD);Vaud
Crans (VD);Vaud
Cressier (FR);Fribourg
Cressier (NE);Neuchâtel
Cugy (FR);Fribourg
Cugy (VD);Vaud
Delley-Portalban;Fribourg
Dompierre (VD);Vaud
Ecublens (FR);Fribourg
Ecublens (VD);Vaud
Ependes (VD);Vaud
Estavayer;Fribourg
Gampel-Bratsch;Valais
Gibloux;Fribourg
Goms;Valais
Goumoëns;Vaud
Grangettes;Fribourg
Haute-Ajoie;Jura
Hauterive (FR);Fribourg
Hauterive (NE);Neuchâtel
Haute-Sorne;Jura
Haut-Intyamon;Fribourg
Jorat-Menthue;Vaud
Jorat-Mézières;Vaud
La Baroche;Jura
La Brillaz;Fribourg
La Grande Béroche;Neuchâtel
La Roche;Fribourg
La Sagne;Neuchâtel
La Sonnaz;Fribourg
La Tène;Neuchâtel
Lajoux (JU);Jura
Lancy;Genève
Lavey-Morcles;Vaud
Le Bémont (JU);Jura
Le Châtelard;Fribourg
Le Chenit;Vaud
Le Flon;Fribourg
Le Pâquier (FR);Fribourg
Les Genevez (JU);Jura
Les Montets;Fribourg
Leuk;Valais
Lully (FR);Fribourg
Lully (VD);Vaud
Martigny-Combe;Valais
Mex (VD);Vaud
Mézières (FR);Fribourg
Milvignes;Neuchâtel
Misery-Courtion;Fribourg
Moiry;Vaud
Mollens (VD);Vaud
Montagny (FR);Fribourg
Montanaire;Vaud
Montilliez;Vaud
Mont-Noble;Valais
Mont-Vully;Fribourg
Mörel-Filet;Valais
Morrens (VD);Vaud
Nendaz;Valais
Neyruz (FR);Fribourg
Noble-Contrée;Valais
Obergoms;Valais
Ollon;Vaud
Onnens (VD);Vaud
Ormont-Dessous;Vaud
Ormont-Dessus;Vaud
Oron;Vaud
Perly-Certoux;Genève
Pont-en-Ogoz;Fribourg
Port-Valais;Valais
Pregny-Chambésy;Genève
Prez;Fribourg
Renens (VD);Vaud
Ried bei Kerzers;Fribourg
Roche (VD);Vaud
Romainmôtier-Envy;Vaud
Romont (FR);Fribourg
Saint-Aubin (FR);Fribourg
Saint-Barthélemy (VD);Vaud
Saint-Blaise;Neuchâtel
Saint-Brais;Jura
Saint-Cergue;Vaud
Sainte-Croix;Vaud
Saint-George;Vaud
Saint-Gingolph;Valais
Saint-Légier-La Chiésaz;Vaud
Saint-Léonard;Valais
Saint-Livres;Vaud
Saint-Martin (FR);Fribourg
Saint-Martin (VS);Valais
Saint-Maurice;Valais
Saint-Oyens;Vaud
Saint-Prex;Vaud
Saint-Saphorin (Lavaux);Vaud
Saint-Sulpice (VD);Vaud
Sâles;Fribourg
Schmitten (FR);Fribourg
Signy-Avenex;Vaud
Simplon;Valais
St. Niklaus;Valais
Stalden (VS);Valais
Steg-Hohtenn;Valais
Tévenon;Vaud
Torny;Fribourg
Turtmann-Unterems;Valais
Unterbäch;Valais
Val de Bagnes;Valais
Val Terbi;Jura
Valbroye;Vaud
Val-de-Charmey;Fribourg
Val-de-Ruz;Neuchâtel
Val-de-Travers;Neuchâtel
Villars-Sainte-Croix;Vaud
Villaz;Fribourg
Villeneuve (VD);Vaud
Villorsonnens;Fribourg
Vully-les-Lacs;Vaud
Wünnewil-Flamatt;Fribourg
Zwischbergen;Valais
